denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,99,41,140,109,249,33,34,7,7,,,263,2054,
Basilicata,9,2,11,16,27,7,7,0,0,,,27,262,
Calabria,45,11,56,70,126,14,15,2,1,,,129,1668,
Campania,127,24,151,272,423,0,0,28,9,,,460,2685,
Emilia-Romagna,1784,247,2031,1884,3915,511,594,152,458,,,4525,15461,
Friuli Venezia Giulia,128,27,155,261,416,69,68,15,31,,,462,4958,
Lazio,374,44,418,232,650,100,117,42,32,,,724,11145,
Liguria,401,100,501,243,744,83,109,70,73,,,887,2912,
Lombardia,7285,924,8209,4057,12266,171,1493,3488,1959,,,17713,48983,
Marche,638,119,757,719,1476,174,197,0,92,,,1568,4109,
Molise,7,6,13,8,21,2,3,6,1,,,28,361,
P.A. Bolzano,79,18,97,269,366,84,85,1,9,,,376,2844,
P.A. Trento,141,22,163,273,436,68,70,12,7,,,455,2187,
Piemonte,1780,227,2007,180,2187,423,444,0,154,,,2341,7516,
Puglia,156,30,186,176,362,42,43,2,19,,,383,3433,
Sardegna,42,7,49,83,132,17,17,0,2,,,134,1135,
Sicilia,100,29,129,138,267,41,45,12,3,,,282,3294,
Toscana,427,160,587,704,1291,267,277,17,22,,,1330,7606,
Umbria,54,21,75,166,241,49,50,4,2,,,247,1601,
Valle d'Aosta,41,3,44,118,162,28,29,0,3,,,165,486,
Veneto,646,195,841,2112,2953,465,510,167,94,,,3214,40841,
