denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,289,71,360,565,925,65,71,24,68,,,1017,6109,
Basilicata,22,15,37,110,147,14,17,1,3,,,151,1254,
Calabria,103,22,125,344,469,97,101,7,18,,,494,6901,
Campania,456,113,569,723,1292,123,144,64,98,,,1454,9613,
Emilia-Romagna,3461,308,3769,5592,9361,511,772,960,1267,,,11588,47798,
Friuli Venezia Giulia,222,57,279,748,1027,73,94,214,76,,,1317,11841,
Lazio,992,126,1118,895,2013,178,199,164,118,,,2295,24106,
Liguria,1023,157,1180,880,2060,33,129,305,331,,,2696,7804,
Lombardia,11137,1292,12429,11466,23895,1706,2409,8001,5402,,,37298,95860,
Marche,979,162,1141,1709,2850,55,82,10,336,,,3196,9060,
Molise,26,9,35,51,86,5,6,14,9,,,109,710,
P.A. Bolzano,249,45,294,539,833,42,97,110,60,,,1003,8520,
P.A. Trento,341,66,407,757,1164,70,94,125,102,,,1391,4923,
Piemonte,2852,431,3283,3064,6347,397,558,176,569,,,7092,19705,
Puglia,530,82,612,624,1236,141,152,29,69,,,1334,10233,
Sardegna,93,19,112,384,496,34,36,13,21,,,530,3801,
Sicilia,425,75,500,658,1158,63,86,53,39,,,1250,11079,
Toscana,1053,274,1327,1843,3170,197,224,103,177,,,3450,23746,
Umbria,149,46,195,629,824,54,82,39,21,,,884,6137,
Valle d'Aosta,91,24,115,298,413,35,44,2,37,,,452,1252,
Veneto,1536,338,1874,4774,6648,508,562,536,313,,,7497,83627,
