denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,128,3,131,693,824,-42,2,2011,402,,,3237,71788,49084
Basilicata,6,0,6,28,34,-2,0,338,27,,,399,28342,27952
Calabria,31,1,32,138,170,-20,0,892,96,,,1158,66956,64697
Campania,260,6,266,746,1012,-134,4,3355,410,,,4777,189068,90670
Emilia-Romagna,449,77,526,3224,3750,-248,74,19857,4094,,,27701,310696,191112
Friuli Venezia Giulia,51,1,52,284,336,-20,7,2593,333,,,3262,126015,76369
Lazio,1035,64,1099,2306,3405,-83,21,3580,708,,,7693,245993,198207
Liguria,198,13,211,934,1145,-124,16,7015,1445,,,9605,100625,56739
Lombardia,3470,173,3643,19270,22913,-1124,382,49296,15974,,,88183,713068,422568
Marche,79,13,92,1254,1346,-104,1,4376,997,,,6719,100110,63611
Molise,3,2,5,158,163,-3,1,250,22,,,435,13847,13266
P.A. Bolzano,16,5,21,136,157,-14,2,2147,291,,,2595,63289,28809
P.A. Trento,17,3,20,438,458,-19,3,3505,462,,,4425,83018,46735
Piemonte,1058,64,1122,4950,6072,-392,58,20535,3838,,,30445,304358,199286
Puglia,164,16,180,1215,1395,-118,2,2590,496,,,4481,111946,75959
Sardegna,38,2,40,160,200,-15,0,1025,130,,,1355,54587,46815
Sicilia,72,8,80,1065,1145,-173,3,2021,272,,,3438,142516,122600
Toscana,126,27,153,1227,1380,-80,4,7677,1029,,,10086,242687,173406
Umbria,14,2,16,17,33,1,0,1323,75,,,1431,67458,47920
Valle d'Aosta,16,0,16,7,23,-4,1,1016,143,,,1182,14653,11487
Veneto,148,9,157,1868,2025,-262,12,15202,1898,,,19125,632124,323097
