denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,76,4,80,448,528,-11,4,2290,453,,,3271,88739,60229
Basilicata,0,1,1,11,12,0,0,362,27,,,401,34377,33587
Calabria,16,1,17,30,47,-5,0,1017,97,,,1161,80063,78001
Campania,61,2,63,283,346,-264,-229,3832,430,,,4608,230551,115842
Emilia-Romagna,200,17,217,1600,1817,-183,33,22015,4196,,,28028,393539,231752
Friuli Venezia Giulia,18,0,18,90,108,-4,3,2840,342,,,3290,157909,92278
Lazio,293,47,340,1882,2222,-295,27,4913,781,,,7916,291869,237100
Liguria,103,3,106,143,249,-1,7,8106,1516,,,9871,124320,67544
Lombardia,2357,97,2454,14570,17024,-316,272,57775,16405,,,91204,873831,519095
Marche,22,0,22,728,750,-152,1,5009,993,,,6752,119045,72169
Molise,1,1,2,112,114,-2,0,302,23,,,439,18112,17279
P.A. Bolzano,8,2,10,91,101,2,2,2216,291,,,2608,74859,35974
P.A. Trento,5,1,6,62,68,-3,2,3911,464,,,4443,100400,53453
Piemonte,527,30,557,2340,2897,-286,31,24096,3996,,,30989,361164,230888
Puglia,61,2,63,376,439,-28,2,3544,532,,,4515,143844,94456
Sardegna,10,1,11,31,42,-1,1,1190,131,,,1363,67069,56937
Sicilia,34,3,37,804,841,-8,0,2335,279,,,3455,176233,147871
Toscana,36,14,50,460,510,-11,7,8575,1080,,,10165,286693,202577
Umbria,10,1,11,13,24,-2,0,1336,76,,,1436,80190,56914
Valle d'Aosta,6,0,6,3,9,3,0,1038,144,,,1191,16374,12671
Veneto,49,0,49,800,849,-73,0,16383,1967,,,19199,795260,367579
