denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,11,0,11,0,11,2,2,0,0,,,11,123,
Basilicata,1,0,1,2,3,0,0,0,0,,,3,75,
Calabria,2,0,2,2,4,0,0,0,0,,,4,113,
Campania,16,0,16,45,61,4,4,0,0,,,61,612,
Emilia-Romagna,464,64,528,409,937,121,140,25,48,,,1010,3604,
Friuli Venezia Giulia,7,1,8,31,39,11,11,3,0,,,42,577,
Lazio,43,8,51,21,72,22,22,3,1,,,76,1582,
Liguria,26,6,32,10,42,18,19,5,4,,,51,331,
Lombardia,1661,359,2020,722,2742,734,808,524,154,,,3420,15778,
Marche,94,36,130,71,201,46,48,0,6,,,207,816,
Molise,3,2,5,9,14,2,2,0,0,,,14,112,
P.A. Bolzano,8,0,8,1,9,5,5,0,0,,,9,36,
P.A. Trento,6,1,7,7,14,4,4,0,0,,,14,194,
Piemonte,110,38,148,54,202,63,64,0,5,,,207,1046,
Puglia,9,2,11,12,23,8,9,1,2,,,26,395,
Sardegna,2,0,2,3,5,0,0,0,0,,,5,99,
Sicilia,8,0,8,25,33,11,11,2,0,,,35,643,
Toscana,54,7,61,51,112,34,34,1,0,,,113,1331,
Umbria,2,2,4,20,24,8,8,0,0,,,24,134,
Valle d'Aosta,1,0,1,7,8,1,1,0,0,,,8,32,
Veneto,123,41,164,341,505,51,55,25,13,,,543,14429,
