denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,5,0,5,1,6,1,1,0,0,,,6,52,
Basilicata,0,0,0,1,1,1,1,0,0,,,1,42,
Calabria,0,0,0,1,1,0,0,0,0,,,1,39,
Campania,11,0,11,19,30,13,13,0,0,,,30,405,
Emilia-Romagna,187,24,211,187,398,74,85,4,18,,,420,2012,
Friuli Venezia Giulia,1,0,1,12,13,4,4,0,0,,,13,354,
Lazio,10,0,10,1,11,7,7,3,0,,,14,877,
Liguria,12,2,14,5,19,1,2,4,1,,,24,121,
Lombardia,698,167,865,461,1326,249,266,139,55,,,1520,9577,
Marche,27,13,40,19,59,25,26,0,2,,,61,200,
Molise,3,0,3,0,3,3,3,0,0,,,3,13,
P.A. Bolzano,1,0,1,0,1,0,0,0,0,,,1,20,
P.A. Trento,1,0,1,3,4,4,4,0,0,,,4,122,
Piemonte,13,3,16,40,56,5,5,0,0,,,56,458,
Puglia,2,0,2,4,6,2,2,0,0,,,6,298,
Sardegna,1,0,1,0,1,1,1,0,0,,,1,29,
Sicilia,2,0,2,3,5,0,0,2,0,,,7,307,
Toscana,10,0,10,8,18,6,6,1,0,,,19,697,
Umbria,1,1,2,6,8,6,6,0,0,,,8,45,
Valle d'Aosta,0,0,0,0,0,0,0,0,0,,,0,12,
Veneto,49,19,68,229,297,26,34,7,3,,,307,10176,
