denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,146,15,161,1518,1679,147,146,3153,488,4437,883,5320,228524,144769
Basilicata,34,0,34,463,497,2,8,532,37,434,632,1066,83481,82651
Calabria,42,1,43,755,798,25,44,1486,104,1159,1229,2388,226243,224137
Campania,694,62,756,11022,11778,552,635,7564,485,17861,1966,19827,697829,467964
Emilia-Romagna,323,31,354,6522,6876,203,341,26982,4498,32669,5687,38356,1310995,728221
Friuli Venezia Giulia,27,10,37,1367,1404,32,38,3850,356,5165,445,5610,454083,200782
Lazio,896,83,979,9658,10637,515,579,9238,989,9457,11407,20864,1044724,861669
Liguria,272,27,299,2624,2923,182,447,11357,1622,11088,4814,15902,353832,188093
Lombardia,546,62,608,13648,14256,877,1080,83550,16994,100262,14538,114800,2350108,1469625
Marche,60,6,66,1329,1395,66,82,6325,992,8712,0,8712,270757,158948
Molise,10,0,10,200,210,46,49,559,26,753,42,795,49398,47568
P.A. Bolzano,54,3,57,937,994,21,34,2856,293,4143,0,4143,194574,100855
P.A. Trento,20,0,20,665,685,5,28,5417,411,3884,2629,6513,251213,105581
Piemonte,483,30,513,5452,5965,502,585,29394,4183,24702,14840,39542,808603,480303
Puglia,310,23,333,3665,3998,85,180,5235,616,2800,7049,9849,461971,327324
Sardegna,164,26,190,2710,2900,41,157,2227,168,2257,3038,5295,216503,182625
Sicilia,426,44,470,4407,4877,195,334,4708,341,6366,3560,9926,561166,402751
Toscana,218,44,262,6655,6917,413,480,11008,1181,14546,4560,19106,856638,576101
Umbria,68,11,79,1412,1491,121,136,2027,90,1855,1753,3608,236287,140125
Valle d'Aosta,11,3,14,244,258,33,33,1125,146,1383,146,1529,31763,21861
Veneto,272,33,305,6350,6655,366,485,23435,2226,22334,9982,32316,2074007,810366
