denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,30,0,30,133,163,4,4,2682,464,3107,202,3309,110052,73142
Basilicata,0,0,0,4,4,0,0,373,27,400,4,404,40562,39782
Calabria,3,0,3,23,26,0,0,1060,97,1159,24,1183,99467,97433
Campania,36,0,36,165,201,3,5,4086,432,4685,34,4719,292593,144281
Emilia-Romagna,88,9,97,932,1029,-8,24,23340,4268,28012,625,28637,517215,309970
Friuli Venezia Giulia,7,0,7,66,73,0,0,2908,345,3322,4,3326,199988,109389
Lazio,199,11,210,651,861,7,14,6484,841,6025,2161,8186,350978,287673
Liguria,43,3,46,243,289,6,8,8152,1558,8721,1278,9999,154061,82338
Lombardia,230,36,266,9179,9445,19,98,68274,16697,88891,5525,94416,1083105,647739
Marche,5,0,5,189,194,-9,1,5609,987,6790,0,6790,143029,86515
Molise,0,0,0,21,21,0,0,401,23,444,1,445,23529,22432
P.A. Bolzano,3,0,3,82,85,0,2,2270,292,2647,0,2647,87236,42772
P.A. Trento,2,0,2,40,42,-6,0,4426,405,3380,1493,4873,127886,65033
Piemonte,226,9,235,982,1217,0,18,26104,4102,26686,4737,31423,430300,267961
Puglia,20,0,20,90,110,-1,0,3881,545,2142,2394,4536,188242,125961
Sardegna,4,0,4,8,12,-1,1,1225,133,1360,10,1370,87553,74074
Sicilia,13,2,15,123,138,0,0,2674,282,2749,345,3094,221210,180132
Toscana,12,2,14,316,330,6,9,8841,1114,10065,220,10285,352549,237344
Umbria,4,0,4,5,9,0,0,1358,80,1433,14,1447,100193,67644
Valle d'Aosta,4,0,4,1,5,1,0,1045,146,1082,114,1196,18707,14039
Veneto,16,2,18,370,388,0,8,16915,2023,19268,58,19326,1009833,422585
