denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,52,5,57,852,909,28,30,3059,481,3799,650,4449,201484,129248
Basilicata,11,2,13,325,338,31,33,474,29,425,416,841,73975,73155
Calabria,32,2,34,503,537,-18,17,1365,100,1159,843,2002,203646,201540
Campania,421,38,459,5937,6396,283,390,6273,463,11501,1631,13132,604302,391374
Emilia-Romagna,206,14,220,4434,4654,1,103,26276,4484,31062,4352,35414,1184856,670418
Friuli Venezia Giulia,20,4,24,735,759,41,57,3613,351,4355,368,4723,414092,183898
Lazio,666,49,715,6628,7343,195,265,8474,923,8177,8563,16740,889420,740268
Liguria,152,21,173,1598,1771,32,111,10067,1608,9624,3822,13446,313964,167855
Lombardia,298,35,333,8834,9167,107,324,80924,16960,95322,11729,107051,2133635,1331274
Marche,24,6,30,783,813,18,28,6180,990,7983,0,7983,248424,145986
Molise,4,0,4,130,134,1,1,498,24,616,40,656,43441,41971
P.A. Bolzano,28,0,28,554,582,21,29,2694,292,3568,0,3568,178242,92681
P.A. Trento,15,0,15,579,594,27,48,5040,406,3741,2299,6040,231957,99722
Piemonte,203,12,215,2692,2907,63,110,28440,4165,23430,12082,35512,726046,436125
Puglia,217,14,231,2376,2607,91,114,4697,596,2384,5516,7900,413516,294298
Sardegna,110,20,130,2006,2136,75,96,1705,155,1995,2001,3996,192705,162894
Sicilia,307,20,327,2609,2936,70,156,4026,312,4726,2548,7274,490482,358336
Toscana,106,22,128,3340,3468,66,144,10338,1165,11900,3071,14971,748736,502556
Umbria,38,3,41,521,562,25,46,1853,85,1681,819,2500,207255,124094
Valle d'Aosta,7,0,7,62,69,-6,1,1100,146,1182,133,1315,29380,20265
Veneto,180,24,204,3761,3965,233,445,21748,2183,21310,6586,27896,1922600,748630
