denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,17,9,26,11,37,7,8,0,1,,,38,310,
Basilicata,2,0,2,5,7,2,2,0,0,,,7,148,
Calabria,8,2,10,1,11,2,2,2,0,,,13,360,
Campania,33,8,41,85,126,7,7,1,0,,,127,1141,
Emilia-Romagna,669,98,767,650,1417,131,147,31,85,,,1533,5494,
Friuli Venezia Giulia,27,6,33,77,110,21,23,3,3,,,116,1602,
Lazio,50,15,65,34,99,5,14,11,6,,,116,3591,
Liguria,57,29,86,42,128,31,32,5,8,,,141,694,
Lombardia,3319,466,3785,642,4427,-63,322,896,468,,,5791,21479,
Marche,152,54,206,175,381,68,71,0,13,,,394,1437,
Molise,3,3,6,9,15,1,1,0,0,,,15,225,
P.A. Bolzano,17,1,18,20,38,29,29,0,0,,,38,36,
P.A. Trento,19,3,22,28,50,17,19,2,0,,,52,399,
Piemonte,306,66,372,64,436,99,103,0,17,,,453,2374,
Puglia,28,6,34,21,55,9,9,1,3,,,59,747,
Sardegna,9,0,9,11,20,1,1,0,0,,,20,204,
Sicilia,17,2,19,41,60,8,8,2,0,,,62,955,
Toscana,91,40,131,129,260,54,56,3,1,,,264,2573,
Umbria,8,2,10,27,37,9,9,0,0,,,37,260,
Valle d'Aosta,2,0,2,15,17,2,2,0,0,,,17,89,
Veneto,204,67,271,512,783,89,112,47,26,,,856,16643,
