denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,8,0,8,0,8,1,1,0,0,,,8,96,
Basilicata,0,0,0,1,1,0,0,0,0,,,1,54,
Calabria,1,0,1,1,2,1,1,0,0,,,2,53,
Campania,12,0,12,33,45,14,14,0,0,,,45,471,
Emilia-Romagna,327,32,359,299,658,142,154,10,30,,,698,2884,
Friuli Venezia Giulia,4,0,4,17,21,3,3,0,0,,,21,397,
Lazio,20,7,27,14,41,14,14,3,0,,,44,1175,
Liguria,11,3,14,7,21,0,2,4,3,,,28,146,
Lombardia,1169,244,1413,364,1777,280,431,376,98,,,2251,12354,
Marche,57,19,76,44,120,40,40,0,4,,,124,413,
Molise,4,0,4,3,7,4,4,0,0,,,7,24,
P.A. Bolzano,1,0,1,0,1,0,0,0,0,,,1,20,
P.A. Trento,2,0,2,5,7,2,2,0,0,,,7,122,
Piemonte,43,17,60,46,106,24,26,0,2,,,108,543,
Puglia,5,1,6,6,12,5,5,1,1,,,14,359,
Sardegna,2,0,2,0,2,0,0,0,0,,,2,50,
Sicilia,5,0,5,11,16,0,0,2,0,,,18,367,
Toscana,26,3,29,31,60,23,23,1,0,,,61,776,
Umbria,1,1,2,7,9,0,0,0,0,,,9,88,
Valle d'Aosta,0,0,0,2,2,2,2,0,0,,,2,21,
Veneto,92,24,116,264,380,35,47,17,10,,,407,11949,
