denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,81,5,86,453,539,-11,1,2275,453,,,3267,87566,59505
Basilicata,0,1,1,11,12,1,1,362,27,,,401,33957,33167
Calabria,16,1,17,35,52,-2,2,1012,97,,,1161,79025,76963
Campania,74,2,76,534,610,-32,3,3797,430,,,4837,226823,114073
Emilia-Romagna,216,18,234,1766,2000,-61,25,21803,4192,,,27995,385220,227500
Friuli Venezia Giulia,22,0,22,90,112,-1,1,2833,342,,,3287,153763,90508
Lazio,320,46,366,2151,2517,-49,20,4596,776,,,7889,287888,233158
Liguria,107,3,110,140,250,5,10,8100,1514,,,9864,122654,66755
Lombardia,2488,97,2585,14755,17340,-517,252,57218,16374,,,90932,858994,509853
Marche,26,0,26,876,902,-45,1,4857,992,,,6751,117720,71531
Molise,1,1,2,114,116,-4,0,300,23,,,439,17710,16916
P.A. Bolzano,8,2,10,89,99,5,2,2215,292,,,2606,74106,35553
P.A. Trento,5,1,6,65,71,-9,2,3906,464,,,4441,98969,52795
Piemonte,544,33,577,2606,3183,-189,42,23787,3988,,,30958,357957,229096
Puglia,65,3,68,399,467,-90,1,3516,530,,,4513,141322,93130
Sardegna,10,1,11,32,43,-7,1,1188,131,,,1362,66133,56226
Sicilia,37,5,42,807,849,-4,0,2327,279,,,3455,174429,146290
Toscana,42,15,57,464,521,-18,10,8558,1079,,,10158,283638,200500
Umbria,11,2,13,13,26,-2,0,1334,76,,,1436,79234,56310
Valle d'Aosta,6,0,6,0,6,0,0,1041,144,,,1191,16268,12606
Veneto,52,0,52,870,922,-43,5,16313,1964,,,19199,780445,364110
