denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,361,76,437,864,1301,50,66,116,146,,,1563,11890,
Basilicata,41,19,60,187,247,14,15,3,11,,,261,2622,
Calabria,183,17,200,462,662,35,42,26,45,,,733,11608,
Campania,532,115,647,1705,2352,212,221,144,181,,,2677,19237,
Emilia-Romagna,3915,364,4279,7899,12178,319,599,1852,1902,,,15932,63682,
Friuli Venezia Giulia,201,61,262,1062,1324,30,80,419,136,,,1879,19985,
Lazio,1194,188,1382,1627,3009,130,167,392,199,,,3600,43776,
Liguria,1147,173,1320,1426,2746,86,183,700,519,,,3965,12934,
Lombardia,11802,1381,13183,13006,26189,313,1455,13020,8311,,,47520,135051,
Marche,982,158,1140,2491,3631,76,132,42,557,,,4230,13678,
Molise,31,8,39,105,144,11,11,21,11,,,176,1378,
P.A. Bolzano,291,60,351,858,1209,49,80,211,139,,,1559,13976,
P.A. Trento,343,80,423,1236,1659,72,106,246,204,,,2109,8993,
Piemonte,3300,452,3752,5378,9130,331,543,723,1043,,,10896,34281,
Puglia,648,123,771,1178,1949,85,105,69,164,,,2182,17924,
Sardegna,122,24,146,598,744,26,31,40,41,,,825,6478,
Sicilia,535,73,608,1056,1664,58,68,94,101,,,1859,18686,
Toscana,1149,288,1437,3472,4909,120,226,300,290,,,5499,44460,
Umbria,165,48,213,707,920,35,51,220,39,,,1179,10614,
Valle d'Aosta,85,25,110,450,560,4,51,89,70,,,719,2106,
Veneto,1714,335,2049,6812,8861,283,353,1031,572,,,10464,126490,
