denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,122,3,125,645,770,-54,0,2063,404,,,3237,73301,50043
Basilicata,5,0,5,28,33,-1,0,339,27,,,399,28909,28209
Calabria,25,1,26,133,159,-11,0,902,97,,,1158,68131,65872
Campania,236,7,243,743,986,-26,10,3390,411,,,4787,193669,93464
Emilia-Romagna,429,76,505,3059,3564,-186,38,20073,4102,,,27739,316909,193318
Friuli Venezia Giulia,45,2,47,276,323,-13,5,2611,333,,,3267,130838,78151
Lazio,817,59,876,2287,3163,-242,16,3825,721,,,7709,249267,201082
Liguria,192,13,205,789,994,-151,14,7173,1452,,,9619,102173,57376
Lombardia,3552,173,3725,18958,22683,-230,354,49842,16012,,,88537,727146,430863
Marche,69,9,78,1274,1352,6,4,4385,986,,,6723,101389,64361
Molise,3,2,5,157,162,-1,1,252,22,,,436,14109,13506
P.A. Bolzano,17,5,22,132,154,-3,0,2150,291,,,2595,64105,29680
P.A. Trento,16,3,19,391,410,-48,3,3556,462,,,4428,84805,47349
Piemonte,1029,61,1090,4568,5658,-414,56,20992,3851,,,30501,309497,202227
Puglia,158,12,170,1113,1283,-112,1,2699,500,,,4482,114588,77211
Sardegna,37,2,39,151,190,-10,1,1036,130,,,1356,55831,47841
Sicilia,67,7,74,1063,1137,-8,2,2031,272,,,3440,145979,125340
Toscana,111,31,142,1113,1255,-125,2,7802,1031,,,10088,246052,175489
Umbria,15,2,17,14,31,-2,0,1324,76,,,1431,68773,48873
Valle d'Aosta,12,0,12,7,19,-4,0,1020,143,,,1182,14759,11572
Veneto,137,7,144,1705,1849,-176,9,15379,1906,,,19134,645049,326795
