denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,30,0,30,126,156,-7,0,2689,464,3106,203,3309,110126,73199
Basilicata,0,0,0,4,4,0,0,373,27,400,4,404,40807,40027
Calabria,4,0,4,22,26,0,0,1060,97,1159,24,1183,99705,97671
Campania,42,0,42,185,227,26,27,4087,432,4690,56,4746,293368,144742
Emilia-Romagna,90,9,99,965,1064,35,38,23343,4268,28017,658,28675,519586,311431
Friuli Venezia Giulia,9,0,9,62,71,-2,0,2910,345,3322,4,3326,200651,109777
Lazio,200,12,212,658,870,9,19,6493,842,6035,2170,8205,353276,289493
Liguria,46,0,46,243,289,0,2,8154,1558,8712,1289,10001,154636,82633
Lombardia,233,36,269,9223,9492,47,111,68335,16700,88967,5560,94527,1088960,651688
Marche,5,0,5,184,189,-5,0,5614,987,6790,0,6790,143299,86700
Molise,0,0,0,21,21,0,0,401,23,444,1,445,23616,22519
P.A. Bolzano,3,0,3,80,83,-2,0,2272,292,2647,0,2647,87392,42875
P.A. Trento,3,0,3,34,37,-5,0,4431,405,3380,1493,4873,128029,65130
Piemonte,210,9,219,989,1208,-9,6,26117,4104,26659,4770,31429,431761,268189
Puglia,18,0,18,75,93,-17,0,3898,545,2123,2413,4536,188969,127514
Sardegna,3,0,3,7,10,-2,1,1227,134,1360,11,1371,87798,74361
Sicilia,14,2,16,123,139,1,1,2674,282,2749,346,3095,222176,180811
Toscana,12,2,14,318,332,2,2,8841,1114,10067,220,10287,353862,238175
Umbria,4,0,4,5,9,0,0,1358,80,1433,14,1447,100395,67791
Valle d'Aosta,4,0,4,1,5,0,0,1045,146,1082,114,1196,18807,14101
Veneto,16,2,18,366,384,-4,1,16919,2024,19268,59,19327,1013235,423183
