denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,71,4,75,436,511,2,4,2312,456,,,3279,91445,61873
Basilicata,0,1,1,10,11,0,0,363,27,,,401,35139,34349
Calabria,15,1,16,28,44,-1,0,1021,97,,,1162,81981,79919
Campania,53,2,55,264,319,-18,1,3860,430,,,4609,240290,121618
Emilia-Romagna,192,14,206,1431,1637,-90,17,22232,4204,,,28073,407039,241833
Friuli Venezia Giulia,15,1,16,87,103,-2,0,2850,343,,,3296,160824,93641
Lazio,305,37,342,980,1322,-35,14,5825,808,,,7955,297615,242245
Liguria,85,3,88,155,243,-1,4,8115,1521,,,9879,126705,68766
Lombardia,2116,94,2210,13779,15989,-796,244,59220,16449,,,91658,892641,530683
Marche,21,0,21,605,626,-51,4,5139,993,,,6758,121354,73298
Molise,0,0,0,74,74,-23,0,342,23,,,439,18845,17947
P.A. Bolzano,8,2,10,85,95,0,3,2227,291,,,2613,76195,36607
P.A. Trento,5,1,6,60,66,-4,1,3917,464,,,4447,103910,55054
Piemonte,517,26,543,2105,2648,-172,30,24399,4012,,,31059,368065,234561
Puglia,57,2,59,359,418,-4,0,3565,532,,,4515,147249,96820
Sardegna,12,0,12,21,33,-1,0,1198,132,,,1363,68769,58281
Sicilia,32,3,35,802,837,-5,1,2341,279,,,3457,179438,150233
Toscana,34,16,50,449,499,-3,8,8596,1085,,,10180,292101,206348
Umbria,9,1,10,10,20,-1,0,1339,77,,,1436,81976,58013
Valle d'Aosta,7,0,7,0,7,0,0,1040,144,,,1191,16597,12806
Veneto,40,1,41,731,772,-6,7,16469,1978,,,19219,812540,371726
