denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,322,69,391,778,1169,0,52,74,102,,,1345,7948,
Basilicata,36,18,54,154,208,11,12,1,5,,,214,1833,
Calabria,130,18,148,454,602,25,33,14,31,,,647,9013,
Campania,468,126,594,1145,1739,183,193,88,125,,,1952,12969,
Emilia-Romagna,3779,351,4130,6636,10766,231,412,1227,1538,,,13531,50990,
Friuli Venezia Giulia,229,60,289,820,1109,-32,21,285,107,,,1501,14003,
Lazio,1079,154,1233,1264,2497,135,208,267,150,,,2914,32846,
Liguria,1142,175,1317,1066,2383,104,141,437,397,,,3217,9677,
Lombardia,11815,1330,13145,11861,25006,-386,1154,10337,6818,,,42161,111057,
Marche,998,167,1165,2086,3251,91,126,16,417,,,3684,10979,
Molise,27,8,35,72,107,7,7,18,9,,,134,955,
P.A. Bolzano,231,62,293,805,1098,64,111,153,74,,,1325,10640,
P.A. Trento,353,78,431,926,1357,64,88,178,147,,,1682,6377,
Piemonte,2985,452,3437,4218,7655,387,506,308,749,,,8712,25478,
Puglia,590,106,696,889,1585,153,163,36,91,,,1712,13117,
Sardegna,113,24,137,485,622,40,44,32,28,,,682,4993,
Sicilia,484,75,559,849,1408,78,95,71,76,,,1555,14758,
Toscana,1116,279,1395,2655,4050,264,290,131,231,,,4412,30099,
Umbria,173,47,220,614,834,-63,28,184,33,,,1051,8150,
Valle d'Aosta,92,26,118,400,518,-21,0,16,50,,,584,1536,
Veneto,1633,356,1989,5575,7564,313,366,747,413,,,8724,99941,
