denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,354,71,425,931,1356,55,65,119,153,,,1628,12837,
Basilicata,44,19,63,181,244,-3,3,9,11,,,264,2765,
Calabria,178,15,193,469,662,0,8,30,49,,,741,12314,
Campania,567,114,681,1815,2496,144,151,146,186,,,2828,21534,
Emilia-Romagna,3859,358,4217,8306,12523,345,608,2040,1977,,,16540,67075,
Friuli Venezia Giulia,183,50,233,1103,1336,12,107,505,145,,,1986,21126,
Lazio,1236,193,1429,1677,3106,97,157,439,212,,,3757,44624,
Liguria,1121,169,1290,1604,2894,148,238,767,542,,,4203,14087,
Lombardia,12002,1326,13328,13892,27220,1031,1598,13242,8656,,,49118,141877,
Marche,997,153,1150,2347,3497,-134,111,270,574,,,4341,14472,
Molise,31,6,37,134,171,27,30,24,11,,,206,1504,
P.A. Bolzano,291,61,352,849,1201,-8,33,245,146,,,1592,15045,
P.A. Trento,353,81,434,1319,1753,94,111,257,210,,,2220,9863,
Piemonte,3441,450,3891,5802,9693,563,813,888,1128,,,11709,37181,
Puglia,627,153,780,1193,1973,24,58,94,173,,,2240,18977,
Sardegna,123,24,147,642,789,45,49,44,41,,,874,6789,
Sicilia,553,74,627,1099,1726,62,73,95,111,,,1932,19896,
Toscana,1129,286,1415,3639,5054,145,172,310,307,,,5671,47886,
Umbria,167,44,211,716,927,7,31,242,41,,,1210,11809,
Valle d'Aosta,63,23,86,474,560,0,29,106,82,,,748,2274,
Veneto,1691,324,2015,7078,9093,232,360,1124,607,,,10824,133289,
