denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,306,16,322,1593,1915,-61,7,695,320,,,2930,37996,28351
Basilicata,49,4,53,139,192,-2,1,150,25,,,367,12774,12774
Calabria,105,6,111,629,740,-13,6,282,86,,,1108,35903,33950
Campania,484,29,513,2260,2773,-9,13,1291,359,,,4423,76108,44233
Emilia-Romagna,2146,206,2352,7211,9563,-2299,259,12322,3551,,,25436,182857,122430
Friuli Venezia Giulia,109,11,120,1050,1170,-57,15,1566,289,,,3025,67930,43691
Lazio,1417,115,1532,2936,4468,-67,71,1707,441,,,6616,137596,107497
Liguria,676,69,745,2806,3551,-25,104,3275,1167,,,7993,48762,31520
Lombardia,6834,605,7439,28772,36211,89,598,25749,13772,,,75732,376943,229880
Marche,465,48,513,2697,3210,-137,37,2131,906,,,6247,59488,39145
Molise,17,1,18,172,190,-3,1,87,21,,,298,6446,6228
P.A. Bolzano,126,13,139,663,802,-43,11,1441,275,,,2518,41297,19178
P.A. Trento,158,21,179,1191,1370,-93,47,2328,418,,,4116,36534,21622
Piemonte,2621,199,2820,12673,15493,-28,428,7730,3066,,,26289,156534,110157
Puglia,439,42,481,2468,2949,22,43,708,415,,,4072,62460,61439
Sardegna,87,16,103,641,744,-17,5,435,116,,,1295,24754,22358
Sicilia,408,33,441,1716,2157,12,26,774,235,,,3166,79669,74541
Toscana,546,126,672,4912,5584,-79,60,2926,842,,,9352,141849,108596
Umbria,68,16,84,149,233,-28,1,1092,67,,,1392,36459,25317
Valle d'Aosta,76,4,80,9,89,-46,4,902,137,,,1128,7631,5647
Veneto,1012,114,1126,7021,8147,-222,135,8354,1459,,,17960,349227,206347
