denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,309,35,344,1764,2108,41,66,349,276,,,2733,30348,24317
Basilicata,65,7,72,160,232,-13,4,98,24,,,354,8040,8040
Calabria,128,7,135,686,821,2,13,163,76,,,1060,26560,24878
Campania,523,53,576,2422,2998,52,50,860,327,,,4185,55701,38679
Emilia-Romagna,2964,282,3246,9838,13084,-160,342,7146,3204,,,23434,140874,96824
Friuli Venezia Giulia,134,20,154,1154,1308,-14,25,1263,246,,,2817,50869,32871
Lazio,1384,187,1571,2892,4463,61,80,1142,370,,,5975,104062,25244
Liguria,860,92,952,2524,3476,13,154,2420,1022,,,6918,35990,23756
Lombardia,9692,817,10509,23733,34242,264,1161,22110,12740,,,69092,290699,184323
Marche,735,76,811,2419,3230,12,47,1849,845,,,5924,46492,30543
Molise,21,2,23,182,205,-8,2,60,19,,,284,4425,4252
P.A. Bolzano,157,19,176,1336,1512,-24,6,648,256,,,2416,32722,15736
P.A. Trento,245,34,279,1595,1874,-35,32,1391,381,,,3646,26674,17672
Piemonte,3213,273,3486,11636,15122,311,784,5058,2559,,,22739,111513,81176
Puglia,564,60,624,2250,2874,62,108,494,362,,,3730,48342,46925
Sardegna,97,20,117,716,833,-4,11,318,96,,,1247,16886,15354
Sicilia,500,35,535,1752,2287,28,48,388,208,,,2883,58732,58732
Toscana,820,174,994,5173,6167,-455,97,1828,705,,,8700,114100,91747
Umbria,97,20,117,254,371,-36,4,925,61,,,1357,27655,18679
Valle d'Aosta,92,8,100,401,501,-21,2,467,127,,,1095,5024,4011
Veneto,1205,163,1368,8623,9991,-86,334,5566,1181,,,16738,277543,171735
