denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,22,0,22,128,150,3,5,2713,465,3116,212,3328,115119,76203
Basilicata,3,0,3,2,5,0,0,374,27,401,5,406,42254,41474
Calabria,4,0,4,53,57,28,28,1062,97,1159,57,1216,105034,103000
Campania,13,0,13,233,246,4,3,4094,432,4711,61,4772,302889,150757
Emilia-Romagna,93,10,103,1077,1180,61,71,23491,4269,28091,849,28940,547863,327651
Friuli Venezia Giulia,2,0,2,77,79,0,0,2911,345,3328,7,3335,212196,113699
Lazio,197,12,209,704,913,-2,20,6557,844,6069,2245,8314,367461,301453
Liguria,25,0,25,214,239,-14,0,8233,1559,8475,1556,10031,163019,86925
Lombardia,160,31,191,7813,8004,-208,77,70297,16748,89163,5886,95049,1142932,685763
Marche,4,0,4,163,167,-2,1,5650,987,6804,0,6804,149154,90191
Molise,1,0,1,12,13,1,1,410,23,444,2,446,24647,23519
P.A. Bolzano,6,0,6,82,88,6,5,2286,292,2666,0,2666,91166,45318
P.A. Trento,2,0,2,24,26,-2,0,4450,405,3381,1500,4881,134432,67162
Piemonte,190,9,199,859,1058,-11,4,26329,4111,26147,5351,31498,449118,278029
Puglia,12,0,12,59,71,0,0,3924,546,2076,2465,4541,201419,136109
Sardegna,3,0,3,6,9,0,0,1229,134,1360,12,1372,92691,78515
Sicilia,5,0,5,118,123,0,0,2693,283,2749,350,3099,235174,189943
Toscana,8,3,11,320,331,1,1,8869,1122,10101,221,10322,371272,249202
Umbria,4,0,4,5,9,1,2,1361,80,1434,16,1450,106030,70601
Valle d'Aosta,2,0,2,1,3,0,0,1047,146,1079,117,1196,19497,14500
Veneto,20,3,23,385,408,10,16,16948,2039,19282,113,19395,1065444,438873
