denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,0,0,0,0,0,0,0,0,0,,,0,5,
Basilicata,0,0,0,0,0,0,0,0,0,,,0,0,
Calabria,0,0,0,0,0,0,0,0,0,,,0,1,
Campania,0,0,0,0,0,0,0,0,0,,,0,10,
Emilia-Romagna,10,2,12,6,18,0,18,0,0,,,18,148,
Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,,,0,58,
Lazio,1,1,2,0,2,0,2,1,0,,,3,124,
Liguria,0,0,0,0,0,0,0,0,0,,,0,1,
Lombardia,76,19,95,71,166,0,166,0,6,,,172,1463,
Marche,0,0,0,0,0,0,0,0,0,,,0,16,
Molise,0,0,0,0,0,0,0,0,0,,,0,0,
P.A. Bolzano,0,0,0,0,0,0,0,0,0,,,0,1,
P.A. Trento,0,0,0,0,0,0,0,0,0,,,0,3,
Piemonte,2,0,2,1,3,0,3,0,0,,,3,141,
Puglia,0,0,0,0,0,0,0,0,0,,,0,0,
Sardegna,0,0,0,0,0,0,0,0,0,,,0,1,
Sicilia,0,0,0,0,0,0,0,0,0,,,0,5,
Toscana,0,0,0,0,0,0,0,0,0,,,0,140,
Umbria,0,0,0,0,0,0,0,0,0,,,0,0,
Valle d'Aosta,0,0,0,0,0,0,0,0,0,,,0,7,
Veneto,12,4,16,16,32,0,32,0,1,,,33,2200,
