denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,28,0,28,131,159,3,7,2682,464,3108,197,3305,109379,72652
Basilicata,0,0,0,4,4,0,0,373,27,401,3,404,40562,39782
Calabria,3,0,3,23,26,1,1,1060,97,1159,24,1183,98936,96902
Campania,37,0,37,161,198,1,2,4084,432,4683,31,4714,290745,143232
Emilia-Romagna,88,8,96,941,1037,26,51,23309,4267,28001,612,28613,514204,307615
Friuli Venezia Giulia,6,0,6,67,73,5,8,2908,345,3322,4,3326,199207,109076
Lazio,197,11,208,646,854,28,31,6477,841,6019,2153,8172,348633,285697
Liguria,39,2,41,242,283,0,4,8150,1558,8713,1278,9991,152888,81739
Lombardia,231,36,267,9159,9426,-251,95,68201,16691,88857,5461,94318,1074333,642762
Marche,5,0,5,198,203,-24,0,5599,987,6789,0,6789,142031,85913
Molise,0,0,0,21,21,0,0,401,23,444,1,445,23399,22303
P.A. Bolzano,3,0,3,82,85,2,3,2268,292,2645,0,2645,86556,42385
P.A. Trento,2,0,2,46,48,2,2,4420,405,3380,1493,4873,126689,64691
Piemonte,225,9,234,983,1217,-58,11,26086,4102,26713,4692,31405,427590,266238
Puglia,21,0,21,90,111,2,3,3880,545,2143,2393,4536,186569,125029
Sardegna,6,0,6,7,13,-1,0,1223,133,1360,9,1369,87244,73703
Sicilia,15,2,17,121,138,3,3,2674,282,2749,345,3094,219841,179117
Toscana,11,2,13,311,324,1,9,8838,1114,10058,218,10276,349745,235764
Umbria,4,0,4,5,9,-1,1,1358,80,1433,14,1447,99397,67231
Valle d'Aosta,3,0,3,1,4,0,0,1046,146,1082,114,1196,18650,14000
Veneto,16,1,17,371,388,-2,4,16907,2023,19265,53,19318,1004228,421242
