denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,233,10,243,1428,1671,-5,17,1073,359,,,3103,48110,33876
Basilicata,45,1,46,97,143,-2,3,215,27,,,385,17916,17424
Calabria,66,2,68,528,596,-16,3,445,91,,,1132,46111,44284
Campania,435,20,455,1460,1915,-50,12,2282,391,,,4588,114819,53475
Emilia-Romagna,1562,150,1712,5479,7191,-210,77,15760,3845,,,26796,231637,149276
Friuli Venezia Giulia,98,3,101,750,851,-18,6,1969,310,,,3130,89449,56205
Lazio,1265,84,1349,2937,4286,-59,32,2322,557,,,7165,178569,141233
Liguria,481,41,522,2378,2900,-82,50,4607,1281,,,8788,67322,40751
Lombardia,5428,348,5776,24414,30190,-72,282,36331,14986,,,81507,485134,287330
Marche,284,30,314,2937,3251,21,40,2322,960,,,6533,76367,49194
Molise,9,0,9,209,218,13,23,130,22,,,370,9164,9008
P.A. Bolzano,61,8,69,390,459,-14,2,1820,290,,,2569,49571,22265
P.A. Trento,82,10,92,694,786,-44,3,3068,441,,,4295,52039,30808
Piemonte,2024,137,2161,11489,13650,-284,116,11648,3367,,,28665,210370,145131
Puglia,343,34,377,2292,2669,-60,27,1196,448,,,4313,78399,54781
Sardegna,83,10,93,422,515,-35,6,705,120,,,1340,34046,30086
Sicilia,273,16,289,1780,2069,-11,14,1002,256,,,3327,102403,91748
Toscana,350,78,428,3719,4147,-301,29,4685,942,,,9774,178208,131788
Umbria,42,6,48,65,113,2,4,1227,71,,,1411,46923,32713
Valle d'Aosta,46,2,48,65,113,-5,5,905,139,,,1157,9833,7467
Veneto,408,37,445,5146,5591,-286,51,11474,1657,,,18722,439522,247617
