denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,36,4,40,501,541,29,35,2954,472,3467,500,3967,172308,111700
Basilicata,4,1,5,149,154,11,12,423,28,413,192,605,62587,61777
Calabria,28,3,31,339,370,0,8,1215,98,1159,524,1683,172180,170074
Campania,239,13,252,3613,3865,123,140,4584,451,7637,1263,8900,489060,296120
Emilia-Romagna,140,18,158,3572,3730,119,152,25027,4468,29972,3253,33225,1009907,587767
Friuli Venezia Giulia,17,3,20,542,562,16,34,3162,349,3851,222,4073,355644,162976
Lazio,365,14,379,4097,4476,94,148,7466,883,7007,5818,12825,700514,581864
Liguria,96,12,108,886,994,53,82,9089,1579,8914,2748,11662,262222,141350
Lombardia,246,27,273,8318,8591,139,257,77318,16896,92918,9887,102805,1793656,1110428
Marche,13,2,15,451,466,27,41,6029,989,7484,0,7484,220614,130636
Molise,4,0,4,84,88,-7,4,448,23,523,36,559,36843,35541
P.A. Bolzano,8,0,8,247,255,16,26,2516,292,3063,0,3063,148307,78315
P.A. Trento,6,0,6,416,422,24,29,4643,405,3588,1882,5470,201165,88084
Piemonte,102,9,111,1849,1960,42,57,27465,4153,24060,9518,33578,631085,386993
Puglia,188,8,196,1350,1546,76,82,4175,570,2139,4152,6291,343000,244885
Sardegna,61,12,73,1264,1337,51,65,1314,139,1677,1113,2790,154864,131993
Sicilia,112,17,129,1577,1706,103,104,3141,289,3501,1635,5136,393950,295881
Toscana,72,17,89,2223,2312,98,147,9425,1148,11027,1858,12885,616766,414906
Umbria,19,4,23,372,395,5,17,1533,81,1559,450,2009,173381,105483
Valle d'Aosta,2,0,2,31,33,2,3,1078,146,1126,131,1257,26188,18368
Veneto,91,11,102,2862,2964,38,173,19427,2138,20237,4292,24529,1689028,663769
