denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,50,3,53,350,403,-1,0,2419,459,,,3281,98708,66342
Basilicata,1,0,1,7,8,0,0,366,27,,,401,37305,36515
Calabria,17,0,17,19,36,6,6,1040,97,,,1173,87935,85884
Campania,41,1,42,84,126,1,2,4060,431,,,4617,265122,127385
Emilia-Romagna,131,12,143,1029,1172,-35,23,22818,4231,,,28221,453854,270279
Friuli Venezia Giulia,16,0,16,62,78,-5,1,2883,344,,,3305,174652,101192
Lazio,247,39,286,705,991,4,8,6199,827,,,8017,318264,259128
Liguria,59,2,61,187,248,-2,7,8130,1549,,,9927,136647,73566
Lombardia,1260,53,1313,12530,13843,-68,128,62555,16570,,,92968,956959,570750
Marche,14,0,14,513,527,-12,0,5247,994,,,6768,128759,77465
Molise,2,0,2,38,40,-13,0,378,23,,,441,20656,19644
P.A. Bolzano,4,1,5,70,75,-1,4,2255,292,,,2622,79863,38519
P.A. Trento,0,0,0,53,53,2,5,3944,466,,,4463,111714,58345
Piemonte,356,19,375,1638,2013,-75,26,25177,4051,,,31241,390209,246075
Puglia,32,1,33,189,222,2,2,3765,540,,,4527,161902,106637
Sardegna,9,0,9,19,28,0,0,1209,132,,,1369,76086,64324
Sicilia,20,6,26,115,141,1,2,2651,280,,,3072,191042,158911
Toscana,19,9,28,337,365,-49,3,8750,1095,,,10210,311877,217330
Umbria,4,1,5,10,15,-2,0,1345,78,,,1438,88509,61227
Valle d'Aosta,4,0,4,1,5,-1,0,1042,146,,,1193,17392,13294
Veneto,28,1,29,554,583,8,7,16660,2002,,,19245,876915,388938
