denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,58,2,60,374,434,-4,2,2389,458,,,3281,95546,64327
Basilicata,0,1,1,9,10,0,0,364,27,,,401,36382,35592
Calabria,18,0,18,17,35,2,3,1033,97,,,1165,85222,83171
Campania,52,6,58,184,242,-16,1,3942,431,,,4615,259655,124683
Emilia-Romagna,159,11,170,1111,1281,-64,32,22643,4219,,,28143,435351,256490
Friuli Venezia Giulia,15,1,16,81,97,-2,2,2861,343,,,3301,167485,97662
Lazio,261,38,299,698,997,-42,9,6167,822,,,7986,309169,251673
Liguria,70,2,72,174,246,2,7,8121,1536,,,9903,132375,71497
Lombardia,1673,60,1733,12914,14647,-325,216,61355,16516,,,92518,929356,554148
Marche,19,0,19,558,577,-8,4,5197,994,,,6768,125339,75604
Molise,1,0,1,59,60,-2,0,357,23,,,440,19984,19006
P.A. Bolzano,8,2,10,75,85,-2,2,2236,292,,,2613,77954,37563
P.A. Trento,2,0,2,57,59,1,8,3933,465,,,4457,107366,56609
Piemonte,397,25,422,1868,2290,-95,31,24840,4032,,,31162,380395,241279
Puglia,34,1,35,271,306,-18,3,3675,538,,,4519,156582,103148
Sardegna,10,0,10,21,31,0,1,1204,132,,,1367,72722,61674
Sicilia,24,3,27,610,637,-168,2,2547,280,,,3464,186253,155903
Toscana,23,13,36,402,438,-6,2,8664,1093,,,10195,303786,213644
Umbria,5,2,7,9,16,-2,0,1344,77,,,1437,85586,59912
Valle d'Aosta,5,0,5,1,6,-2,0,1040,145,,,1191,17057,13097
Veneto,33,1,34,573,607,-73,8,16632,1994,,,19233,847997,382042
