denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,94,32,126,90,216,51,53,7,6,,,229,1688,
Basilicata,5,2,7,13,20,8,8,0,0,,,20,262,
Calabria,45,10,55,57,112,25,25,1,1,,,114,1293,
Campania,127,24,151,272,423,60,60,28,9,,,460,2685,
Emilia-Romagna,1566,223,1789,1615,3404,316,409,134,393,,,3931,14510,
Friuli Venezia Giulia,104,21,125,222,347,1,8,17,30,,,394,4958,
Lazio,314,44,358,192,550,78,84,34,23,,,607,9436,
Liguria,299,85,384,277,661,86,111,57,60,,,778,2509,
Lombardia,6953,879,7832,4263,12095,1234,1571,2485,1640,,,16220,46449,
Marche,599,109,708,594,1302,117,129,0,69,,,1371,3225,
Molise,7,5,12,7,19,4,4,5,1,,,25,301,
P.A. Bolzano,71,11,82,200,282,47,50,1,8,,,291,2149,
P.A. Trento,107,22,129,239,368,1,7,10,7,,,385,1727,
Piemonte,1378,206,1584,180,1764,359,381,0,133,,,1897,6543,
Puglia,155,14,169,151,320,108,110,2,18,,,340,3077,
Sardegna,36,4,40,75,115,10,10,0,2,,,117,1003,
Sicilia,86,28,114,112,226,23,24,8,3,,,237,2916,
Toscana,329,143,472,552,1024,183,187,12,17,,,1053,6727,
Umbria,36,21,57,135,192,33,33,4,1,,,197,1323,
Valle d'Aosta,35,6,41,93,134,31,31,0,2,,,136,398,
Veneto,548,171,719,1769,2488,214,231,136,80,,,2704,35478,
