denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,159,10,169,1824,1993,192,203,3164,491,4688,960,5648,234275,148088
Basilicata,36,0,36,503,539,35,37,536,37,436,676,1112,85435,84605
Calabria,51,3,54,805,859,13,39,1524,104,1159,1328,2487,230635,228529
Campania,762,66,828,12416,13244,801,1127,8032,496,19740,2032,21772,723005,487147
Emilia-Romagna,392,49,441,7080,7521,373,453,27124,4503,33090,6058,39148,1339233,742503
Friuli Venezia Giulia,32,11,43,1604,1647,93,136,3923,358,5472,456,5928,465140,205301
Lazio,969,90,1059,10546,11605,542,594,9395,1001,9823,12178,22001,1076138,884989
Liguria,316,26,342,2771,3113,38,432,11957,1626,11472,5224,16696,362962,192467
Lombardia,726,72,798,16252,17050,1832,2067,84624,17037,102862,15849,118711,2411663,1508334
Marche,61,9,70,1594,1664,127,140,6362,992,9018,0,9018,276513,162176
Molise,7,0,7,244,251,27,30,566,26,798,45,843,51862,48828
P.A. Bolzano,60,3,63,1130,1193,75,98,2879,293,4365,0,4365,197890,102467
P.A. Trento,20,0,20,648,668,10,62,5521,415,3905,2699,6604,255435,106544
Piemonte,595,40,635,6673,7308,921,1033,29576,4190,25197,15877,41074,828712,489887
Puglia,319,26,345,4064,4409,180,257,5387,625,2947,7474,10421,473161,334382
Sardegna,180,28,208,2816,3024,98,186,2410,169,2357,3246,5603,221349,186956
Sicilia,468,52,520,4967,5487,300,399,4854,350,6856,3835,10691,575631,411784
Toscana,276,46,322,7584,7906,479,581,11171,1185,15463,4799,20262,878817,591385
Umbria,74,12,86,1731,1817,194,263,2104,91,1903,2109,4012,243404,144075
Valle d'Aosta,14,3,17,343,360,65,67,1127,146,1472,161,1633,32441,22227
Veneto,279,40,319,7289,7608,426,600,23728,2237,22546,11027,33573,2114126,825788
